Bairro,Quartos,Banheiros,Metros Quadrados,Idade Predio,Jardim,Garagem,Andares,Vista,Estado Predio,Preco (£),Tipo Imovel_Detached House,Tipo Imovel_Semi-Detached,Tipo Aquecimento_Electric Heating,Tipo Aquecimento_Gas Heating,Tipo Aquecimento_Underfloor Heating,Varanda_Low-level Balcony,Varanda_No Balcony,Materiais_Laminate Flooring,Materiais_Marble,Materiais_Wood,Estilo Interior_Industrial,Estilo Interior_Minimalist,Estilo Interior_Modern
1507524.1155518438,5,2,236,89,1,0,2,1816293.2844578985,0.0,2265600,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1507524.1155518438,5,2,86,22,1,1,3,1816293.2844578985,1.0,825600,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2452519.6210561837,4,3,128,72,0,0,1,1765154.3733213572,1.0,2560000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1626371.6486530523,5,1,196,8,1,1,2,1878492.504550762,0.0,2548000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2291252.17166484,2,2,229,80,1,0,1,1830933.7961990314,2.0,3297600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1333340.3054610975,1,2,82,49,0,0,1,1765154.3733213572,1.0,601333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1781150.6260902958,2,2,219,73,1,1,1,1878492.504550762,2.0,2452800,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1333340.3054610975,5,2,184,78,0,1,1,1816293.2844578985,0.0,1349333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2452519.6210561837,3,2,94,47,1,1,1,1830933.7961990314,1.0,1880000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1957530.1587836633,4,2,73,90,0,1,1,1816293.2844578985,2.0,778666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1269667.4420759259,2,3,163,36,0,1,2,1816293.2844578985,1.0,1086666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2452519.6210561837,5,2,249,3,1,0,2,1878492.504550762,1.0,4980000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1781150.6260902958,5,3,103,62,0,1,3,1816293.2844578985,1.0,1153600,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1269667.4420759259,4,2,204,28,0,1,3,1765154.3733213572,2.0,1360000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1269667.4420759259,1,3,249,2,0,0,3,1765154.3733213572,1.0,1660000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2291252.17166484,4,1,115,9,1,1,2,1816293.2844578985,1.0,1656000,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1626371.6486530523,3,3,193,55,1,0,2,1765154.3733213572,2.0,2509000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1507524.1155518438,4,2,113,72,1,0,1,1765154.3733213572,0.0,1084800,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1507524.1155518438,1,2,95,86,0,1,1,1912561.396328897,1.0,912000,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1269667.4420759259,3,2,86,39,0,0,2,1878492.504550762,2.0,688000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1781150.6260902958,4,1,87,68,1,0,3,1830933.7961990314,1.0,812000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1507524.1155518438,5,1,78,24,0,1,2,1765154.3733213572,2.0,936000,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1626371.6486530523,2,3,176,8,1,1,2,1830933.7961990314,1.0,1830399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2282196.407549343,3,1,65,26,1,1,1,1816293.2844578985,1.0,823333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333340.3054610975,1,2,186,20,1,0,2,1830933.7961990314,1.0,1364000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1269667.4420759259,2,1,174,59,0,0,1,1912561.396328897,0.0,1392000,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1824983.7475390674,4,3,193,73,0,0,3,1830933.7961990314,2.0,2895000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2452519.6210561837,1,1,153,54,0,1,1,1765154.3733213572,0.0,3060000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1957530.1587836633,3,3,177,51,0,1,1,1816293.2844578985,1.0,2832000,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1333340.3054610975,3,2,225,2,1,1,3,1878492.504550762,1.0,1650000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2452519.6210561837,1,2,232,91,1,0,3,1878492.504550762,2.0,3093333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1269667.4420759259,2,3,58,47,1,0,1,1765154.3733213572,1.0,386666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1333340.3054610975,5,2,167,67,0,1,2,1816293.2844578985,1.0,1469599,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1269667.4420759259,4,2,50,90,0,1,2,1878492.504550762,0.0,500000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2452519.6210561837,3,2,114,53,1,0,3,1830933.7961990314,1.0,1824000,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1781150.6260902958,5,2,81,69,0,0,3,1912561.396328897,0.0,907200,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1269667.4420759259,1,3,79,41,1,1,1,1912561.396328897,0.0,632000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1824983.7475390674,4,2,51,26,1,0,1,1816293.2844578985,1.0,612000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2452519.6210561837,3,1,188,52,0,0,3,1878492.504550762,0.0,3760000,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1507524.1155518438,4,2,96,10,1,0,2,1765154.3733213572,1.0,1152000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1626371.6486530523,1,2,72,88,1,1,1,1912561.396328897,1.0,936000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1957530.1587836633,5,3,70,94,0,0,3,1816293.2844578985,0.0,1120000,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1269667.4420759259,5,1,129,20,1,1,2,1830933.7961990314,0.0,860000,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1626371.6486530523,1,2,105,47,0,0,1,1816293.2844578985,1.0,1364999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1781150.6260902958,3,2,166,52,1,0,1,1912561.396328897,1.0,1549333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1824983.7475390674,1,3,146,49,0,1,1,1765154.3733213572,2.0,2190000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1824983.7475390674,3,3,121,31,1,1,1,1765154.3733213572,0.0,1210000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1507524.1155518438,2,2,183,5,0,0,1,1878492.504550762,2.0,2196000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1269667.4420759259,1,2,60,45,1,1,2,1830933.7961990314,2.0,480000,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1507524.1155518438,1,3,104,2,0,0,2,1912561.396328897,2.0,1248000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626371.6486530523,5,1,52,19,0,1,2,1912561.396328897,2.0,450666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1626371.6486530523,5,3,94,10,0,0,2,1765154.3733213572,2.0,1222000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2282196.407549343,4,2,199,66,0,1,3,1912561.396328897,0.0,3024799,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1957530.1587836633,2,3,222,97,0,0,3,1878492.504550762,1.0,2368000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1507524.1155518438,1,1,243,94,1,0,2,1912561.396328897,2.0,2916000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2282196.407549343,1,3,163,38,0,1,3,1765154.3733213572,2.0,3097000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1269667.4420759259,2,1,99,41,0,1,2,1830933.7961990314,1.0,990000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1957530.1587836633,4,3,70,76,0,1,3,1912561.396328897,2.0,1120000,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2452519.6210561837,4,1,188,13,1,1,2,1878492.504550762,0.0,2506666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2291252.17166484,4,2,243,7,1,0,2,1816293.2844578985,0.0,2916000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1333340.3054610975,4,3,227,70,1,1,3,1765154.3733213572,1.0,1664666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1781150.6260902958,3,2,57,77,1,1,1,1765154.3733213572,0.0,532000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2291252.17166484,3,2,190,71,0,0,2,1830933.7961990314,0.0,2736000,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1333340.3054610975,3,1,164,88,0,0,1,1830933.7961990314,0.0,1202666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1333340.3054610975,5,3,94,99,0,1,2,1830933.7961990314,0.0,827199,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1824983.7475390674,4,2,94,83,1,1,2,1878492.504550762,0.0,1410000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1507524.1155518438,5,3,236,30,0,0,2,1816293.2844578985,0.0,2265600,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1824983.7475390674,4,2,87,11,0,0,1,1912561.396328897,2.0,870000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2291252.17166484,2,1,81,71,1,1,3,1878492.504550762,0.0,1166400,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1333340.3054610975,4,1,233,81,0,0,2,1816293.2844578985,2.0,2563000,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1507524.1155518438,3,2,51,56,1,0,1,1830933.7961990314,2.0,612000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1333340.3054610975,2,2,84,35,0,0,3,1912561.396328897,0.0,924000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1824983.7475390674,5,1,51,4,0,0,1,1878492.504550762,2.0,612000,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
